Date,Open,High,Low,Close,Adj Close,Volume
2019-03-03,0.038500,0.038673,0.035793,0.036013,0.036013,3547
2019-03-04,0.035985,0.036995,0.031272,0.036891,0.036891,15080
2019-03-05,0.036987,0.038088,0.035156,0.036409,0.036409,7223
2019-03-06,0.036439,0.039072,0.034464,0.035304,0.035304,7998
2019-03-07,0.035345,0.036805,0.033203,0.036805,0.036805,11928
2019-03-08,0.036877,0.036892,0.033083,0.034464,0.034464,2810
2019-03-09,0.033836,0.040460,0.033810,0.040382,0.040382,7908
2019-03-10,0.040467,0.040955,0.039471,0.040781,0.040781,8851
2019-03-11,0.040800,0.040908,0.038764,0.039250,0.039250,12280
2019-03-12,0.039277,0.040174,0.036886,0.040063,0.040063,22323
2019-03-13,0.040081,0.040086,0.037431,0.039696,0.039696,17130
2019-03-14,0.039679,0.041860,0.036137,0.038195,0.038195,23640
2019-03-15,0.038154,0.047887,0.037072,0.044647,0.044647,41503
2019-03-16,0.044716,0.054372,0.041894,0.045896,0.045896,53364
2019-03-17,0.045836,0.045866,0.041639,0.042627,0.042627,4916
2019-03-18,0.042669,0.045148,0.041015,0.044582,0.044582,24866
2019-03-19,0.044554,0.052816,0.042260,0.052786,0.052786,59735
2019-03-20,0.052797,0.066945,0.047176,0.061145,0.061145,56976
2019-03-21,0.061058,0.073206,0.054847,0.067871,0.067871,69293
2019-03-22,0.069585,0.072006,0.056476,0.066866,0.066866,34955
2019-03-23,0.066791,0.073537,0.059883,0.068320,0.068320,16626
2019-03-24,0.068336,0.076714,0.066619,0.072413,0.072413,31061
2019-03-25,0.072489,0.076405,0.055962,0.058694,0.058694,45173
2019-03-26,0.058787,0.067117,0.052315,0.053426,0.053426,31628
2019-03-27,0.054456,0.064757,0.054300,0.061416,0.061416,17708
2019-03-28,0.061390,0.067723,0.045249,0.059918,0.059918,43181
2019-03-29,0.059918,0.064560,0.049581,0.050212,0.050212,24982
2019-03-30,0.050233,0.055051,0.045393,0.052446,0.052446,24244
2019-03-31,0.052446,0.052446,0.042341,0.046907,0.046907,25633
2019-04-01,0.046876,0.049854,0.045501,0.046653,0.046653,5053
2019-04-02,0.046654,0.056520,0.046586,0.053601,0.053601,10387
2019-04-03,0.053611,0.071322,0.053146,0.062549,0.062549,22297
2019-04-04,0.062628,0.063951,0.049857,0.059745,0.059745,48328
2019-04-05,0.059746,0.063401,0.052545,0.061243,0.061243,29800
2019-04-06,0.061243,0.062780,0.054555,0.055876,0.055876,14451
2019-04-07,0.055878,0.069229,0.055541,0.069229,0.069229,17389
2019-04-08,0.069337,0.073861,0.059659,0.072730,0.072730,44220
2019-04-09,0.072730,0.094611,0.071376,0.078684,0.078684,124859
2019-04-10,0.078681,0.087193,0.066161,0.082190,0.082190,55754
2019-04-11,0.082260,0.082340,0.063668,0.069833,0.069833,55997
2019-04-12,0.069754,0.078780,0.066368,0.067572,0.067572,24230
2019-04-13,0.067551,0.081561,0.067410,0.081437,0.081437,11357
2019-04-14,0.081437,0.081566,0.073778,0.077510,0.077510,10924
2019-04-15,0.077510,0.080883,0.071130,0.072555,0.072555,20168
2019-04-16,0.072556,0.082244,0.068291,0.082181,0.082181,101301
2019-04-17,0.082172,0.082841,0.070718,0.076998,0.076998,33131
2019-04-18,0.076981,0.080713,0.071521,0.076461,0.076461,31202
2019-04-19,0.076486,0.077251,0.070483,0.076918,0.076918,12735
2019-04-20,0.076918,0.081674,0.073505,0.077037,0.077037,19490
2019-04-21,0.077042,0.082079,0.074914,0.081463,0.081463,36935
2019-04-22,0.081461,0.081461,0.068215,0.074796,0.074796,39978
2019-04-23,0.074789,0.079295,0.071973,0.075272,0.075272,27778
2019-04-24,0.075219,0.079592,0.069610,0.079546,0.079546,40829
2019-04-25,0.079537,0.084384,0.072106,0.073695,0.073695,50566
2019-04-26,0.073700,0.095566,0.073433,0.085909,0.085909,92601
2019-04-27,0.085935,0.089828,0.084873,0.088296,0.088296,17163
2019-04-28,0.088309,0.093886,0.084313,0.090654,0.090654,12289
2019-04-29,0.090652,0.094683,0.088552,0.092316,0.092316,15117
2019-04-30,0.092355,0.099501,0.092111,0.097275,0.097275,39184
2019-05-01,0.097310,0.098374,0.087031,0.094378,0.094378,16578
2019-05-02,0.094357,0.101684,0.091765,0.094479,0.094479,30264
2019-05-03,0.094455,0.105689,0.093872,0.105101,0.105101,29174
2019-05-04,0.105101,0.109916,0.099204,0.106331,0.106331,28857
2019-05-05,0.106363,0.106791,0.099967,0.102695,0.102695,10042
2019-05-06,0.102771,0.113471,0.100557,0.107519,0.107519,27332
2019-05-07,0.107511,0.117473,0.102962,0.103744,0.103744,41945
2019-05-08,0.103595,0.105647,0.098172,0.104056,0.104056,25930
2019-05-09,0.104032,0.105963,0.097581,0.097662,0.097662,33702
2019-05-10,0.097644,0.102196,0.073433,0.084757,0.084757,87386
2019-05-11,0.084764,0.100625,0.079623,0.091043,0.091043,51153
2019-05-12,0.090973,0.098060,0.083967,0.084252,0.084252,16013
2019-05-13,0.084252,0.119073,0.084252,0.110550,0.110550,44141
2019-05-14,0.110609,0.118627,0.094917,0.113614,0.113614,74092
2019-05-15,0.113649,0.126760,0.096608,0.115351,0.115351,126434
2019-05-16,0.115312,0.124869,0.100786,0.118507,0.118507,66891
2019-05-17,0.118458,0.119874,0.094590,0.102772,0.102772,33464
2019-05-18,0.102772,0.105126,0.091652,0.099385,0.099385,34755
2019-05-19,0.099333,0.117062,0.098917,0.116190,0.116190,45410
2019-05-20,0.116190,0.121224,0.091225,0.115611,0.115611,115318
2019-05-21,0.115628,0.117603,0.096640,0.104361,0.104361,49199
2019-05-22,0.104361,0.105804,0.088704,0.099081,0.099081,97151
2019-05-23,0.099081,0.100738,0.088323,0.098213,0.098213,19647
2019-05-24,0.098159,0.105230,0.091639,0.104100,0.104100,25588
2019-05-25,0.104100,0.105344,0.097678,0.103205,0.103205,14868
2019-05-26,0.103205,0.122818,0.102177,0.118283,0.118283,13861
